trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
27,pd_tvc,1,27.4647,27.4647,22.883,20.1173,23.5649,23.5649,1.03688,0.921301,0,51.6892,1.09648,872.696,0.0425408,0.22694,0.230893,2.46773,0.00296853,0.243664,2.95154,4.22424
27,lqr_tvc,1,29.0092,29.0092,17.9199,16.3093,19.103,19.103,0.895422,0.951488,0,51.6892,1.09648,872.696,0.0425408,0.22694,0.230893,2.46773,0.00296853,0.243664,2.95154,4.22424
28,open_loop,0,-3.4838,7.7916,173.158,172.053,25.2743,25.2743,6.47048,-0.992878,0,49.0053,0.994942,871.901,2.96001,-6.46878,7.11384,0.785262,0.00573674,0.537626,2.43605,5.49942
28,pd_tvc,1,35.4647,35.4647,6.70053,5.23003,7.16381,7.16381,0.321089,0.99317,0,49.0053,0.994942,871.901,2.96001,-6.46878,7.11384,0.785262,0.00573674,0.537626,2.43605,5.49942
28,lqr_tvc,1,35.5931,35.5931,5.34218,4.33151,5.82515,5.82515,0.284156,0.995656,0,49.0053,0.994942,871.901,2.96001,-6.46878,7.11384,0.785262,0.00573674,0.537626,2.43605,5.49942
29,open_loop,0,0.324236,9.10301,173.572,53.3074,24.0816,24.0816,5.67548,-0.993714,0,52.4745,1.10401,875.481,3.71063,-4.06143,5.50127,1.69271,0.00477148,0.313517,3.08501,5.01372
29,pd_tvc,1,29.1054,29.1054,15.2597,12.349,15.098,15.098,0.699973,0.964743,0,52.4745,1.10401,875.481,3.71063,-4.06143,5.50127,1.69271,0.00477148,0.313517,3.08501,5.01372
29,lqr_tvc,1,29.7407,29.7407,11.9879,10.1527,12.1812,12.1812,0.603535,0.978191,0,52.4745,1.10401,875.481,3.71063,-4.06143,5.50127,1.69271,0.00477148,0.313517,3.08501,5.01372
30,open_loop,0,8.01455,11.6342,166.731,18.6758,23.6202,23.6202,7.36693,-0.973303,0,51.5429,0.956933,826.522,7.70909,-1.34981,7.82637,0.340669,0.0054798,0.475361,2.87905,4.88064
30,pd_tvc,1,27.9608,27.9608,1.71932,0.426544,0.727315,0.727315,0.0861838,0.99955,0,51.5429,0.956933,826.522,7.70909,-1.34981,7.82637,0.340669,0.0054798,0.475361,2.87905,4.88064
30,lqr_tvc,1,27.9643,27.9643,1.38622,0.35626,0.495176,0.495176,0.0770893,0.999707,0,51.5429,0.956933,826.522,7.70909,-1.34981,7.82637,0.340669,0.0054798,0.475361,2.87905,4.88064
31,open_loop,0,-13.4089,5.00843,179.531,169.101,24.9914,24.9914,6.06841,-0.999967,0,50.4896,0.879586,861.729,-7.22438,0.255023,7.22888,0.0754177,0.00375277,0.539964,3.14886,4.54403
31,pd_tvc,1,32.517,32.517,3.37345,3.37345,3.35358,3.35358,0.0918685,0.998267,0,50.4896,0.879586,861.729,-7.22438,0.255023,7.22888,0.0754177,0.00375277,0.539964,3.14886,4.54403
31,lqr_tvc,1,32.537,32.537,2.76721,2.76721,2.92551,2.92551,0.0838613,0.998834,0,50.4896,0.879586,861.729,-7.22438,0.255023,7.22888,0.0754177,0.00375277,0.539964,3.14886,4.54403
