time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m
0.19000000000000009,0.007573931584730802,0.00014774310215002765,0.12975030369659463,0.07001113278862632,0.0018849679664910972,1.365954417442678,0.9999591456403807,-0.0002997865770947189,-0.009034222610066226,-4.825136496336301e-09,-0.006349605717193411,-0.1901417288111338,-1.009733859206064e-20,1.0,1.0358295782775484,-1.035259875690754,-1.035259875690754,0.034357223106690996,-0.018067707042480646,0.0005995487461948929,0.99983658589968,0.007575372444600711
0.1950000000000001,0.007925971596366928,0.00015738159686665246,0.13666997718147283,0.07079126782267821,0.0019708998603542734,1.4019150721170293,0.999954673886356,-0.00031587483298391,-0.00951579717741143,-5.801497795368013e-09,-0.006521623659888266,-0.19513431656553412,-1.0900451312420272e-20,1.0,1.0910471218780655,-1.0904466540727227,-1.0904466540727227,0.03620151377457352,-0.01903073172294921,0.0006317211416224185,0.9998186996543368,0.007927533961671033
0.2000000000000001,0.008281706461849737,0.0001674568633824153,0.14376945532204244,0.07148872223879946,0.0020596893473125454,1.4378762690985372,0.9999498449625965,-0.00033239358734237715,-0.010009848839130225,-6.933298172596689e-09,-0.006694082658762988,-0.20012566415843613,-1.0900451312420272e-20,1.0,1.1476956099012523,-1.147063529864816,-1.147063529864816,0.03809523382371991,-0.020018693584965424,0.0006647539710616761,0.9997993848814417,0.008283399285398329
0.2050000000000001,0.008640717497168372,0.00017798337973061275,0.15104874066531318,0.07210138375173665,0.002151412485018904,1.4738379415271934,0.999944640384591,-0.0003493439502908016,-0.010516374134445715,-8.239389484643156e-09,-0.006866996824118772,-0.2051157245477684,-1.0900451312420272e-20,1.0,1.2057746848220134,-1.2051101413492507,-1.2051101413492507,0.04003852098778467,-0.021031583898279506,0.000698649394785141,0.9997785676677378,0.008642550372970468
0.2100000000000001,0.009002575458157783,0.00018897600469488797,0.1585078354081209,0.07262714058981473,0.002246145516800193,1.5098000161674723,0.999939041208059,-0.00036672706638580924,-0.011035369462162223,-9.74026175907911e-09,-0.007040380235865179,-0.21010445114208645,-9.294225871701005e-21,1.0,1.2652839758512084,-1.2645861134206857,-1.2645861134206857,0.042031517781576426,-0.02206939351159834,0.0007334096372685151,0.9997561722641848,0.009004558668262164
0.2150000000000001,0.009366840543138404,0.00020044997875019797,0.1661467413648605,0.07306388152376074,0.002343964876692199,1.5457624132525438,0.9999330280296654,-0.0003845441144984203,-0.011566831080644286,-1.145813302810023e-08,-0.00721424694073667,-0.21509179781699703,-9.294225871701005e-21,1.0,1.3262230990667918,-1.3254910577190147,-1.3254910577190147,0.044074371531544254,-0.023132112845540263,0.000769036986711362,0.9997321210891517,0.00936898510803397
0.2200000000000001,0.009733062395701587,0.00021242092502889366,0.1739654599344402,0.07340949589618394,0.0024449471944494486,1.5817250463287231,0.9999265809877508,-0.000402796307684453,-0.012110755107809214,-1.3417041264439372e-08,-0.007388610949591071,-0.22007771893136427,-1.0900451312420272e-20,0.9999999999999999,1.3885916575500092,-1.3878245727668777,-1.3878245727668777,0.046167234406670025,-0.02421973188545454,0.0008055337945358125,0.9997063347317063,0.009735380128583087
0.22500000000000012,0.010100780107644107,0.00022490485031178266,0.18196399206645922,0.07366187365172533,0.002549169300528333,1.6176878221001618,0.9999196797630825,-0.00042148489304707885,-0.012667137521132816,-1.5642938386208252e-08,-0.007563486234792296,-0.22506216934328935,-1.0900451312420272e-20,1.0,1.4523892415264321,-1.4515862441118268,-1.4515862441118268,0.04831026344980782,-0.02533224017410558,0.000842902474863728,0.9996787319550113,0.01010328367287946
0.23000000000000012,0.010469522222055116,0.00023791814604403835,0.19014233822660892,0.07381890536788979,0.0026567082310421752,1.6536506402737898,0.9999123035796241,-0.00044061115159173037,-0.01323597415766783,-1.8163786296689944e-08,-0.007738886727679436,-0.23004510442585638,-7.68800043098174e-21,1.0,1.5176154285113992,-1.5167756444730756,-1.5167756444730756,0.05050362060951294,-0.026469626804221692,0.0008811455039727282,0.9996492296998213,0.01047222519822425
0.23500000000000013,0.01083880673655898,0.0002514775893758112,0.19850049836129974,0.07387848228657358,0.002767641232686851,1.689613393404514,0.9999044312053236,-0.0004601763980735698,-0.013817260714074594,-2.1009654924510412e-08,-0.00791482631612414,-0.235026480082638,-1.4112902193858804e-20,1.0,1.5842697834592756,-1.583392333892774,-1.583392333892774,0.052747472772404054,-0.027631880410908548,0.0009202654197314939,0.999617743088084,0.010841723684471699
0.24000000000000013,0.011208141106717539,0.00026560034422739144,0.20703847186151458,0.07383849634630009,0.0028820457676355746,1.725575966740681,0.9998960409529184,-0.0004801819808377287,-0.014410992746663485,-2.4212822229092772e-08,-0.008091318842178008,-0.24000625276295467,-1.2506676753139537e-20,1.0,1.6523518589198634,-1.6514358598917311,-1.6514358598917311,0.055041991796103105,-0.028818989163926962,0.0009602648210147611,0.9995841854266417,0.011211287642859993
0.24500000000000013,0.011577022249595325,0.00028030396237876606,0.21575625752589023,0.07369684021517646,0.002999999518401451,1.761538238069811,0.9998871106807599,-0.0005006292816525344,-0.015017165671448628,-2.7807876135843084e-08,-0.008268378099811523,-0.2449843794768827,-7.688000430981739e-21,1.0,1.7218611951929519,-1.7209057576295221,-1.7209057576295221,0.05738735454279879,-0.03003094075983525,0.0010011463670984394,0.9995484682110375,0.011580415125501781
0.2500000000000001,0.011944936547491394,0.0002956063845834048,0.22465385352302816,0.07345140732458355,0.0031215803926663965,1.7975000775646124,0.9998776177936519,-0.0005215197155359403,-0.015635774764212358,-3.183181836513233e-08,-0.008446017832745865,-0.24996081781000654,-6.081774990262473e-21,1.0,1.792797320495304,-1.791801550068902,-1.791801550068902,0.059783742913480487,-0.03126772241399566,0.0010429127770352825,0.9995105011294184,0.0119485937355909
0.2550000000000001,0.012311359851841478,0.0003115259417061037,0.23373125735303607,0.07310009190361165,0.0032468665280750357,1.8334613476292796,0.9998675392437099,-0.0005428547305753837,-0.016266815160579987,-3.632417011881916e-08,-0.008624251732378727,-0.2549355259379118,-4.475549549543207e-21,1.0,1.8651597511259763,-1.8641227481444558,-1.8641227481444558,0.06223134388289011,-0.032529320852445275,0.0010855668290115543,0.9994701920665461,0.012315300638388415
0.2600000000000001,0.012675757487294197,0.000328081355884708,0.2429884658083017,0.07264078901425428,0.0033759362969921695,1.8694219027460854,0.9998568515312329,-0.0005646358077412923,-0.016910281856104267,-4.1327079587808604e-08,-0.008803093435805098,-0.25990846264041634,-2.869324108823941e-21,0.9999999999999999,1.9389479916363326,-1.9378688509354118,-1.9378688509354118,0.06473034953524115,-0.033815722303630794,0.0011291113596851345,0.9994274471079033,0.012680002573058652
