time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,control_tx_nm,control_ty_nm,control_tz_nm,control_torque_norm_nm
1.6499999999999868,-1.1483879818197715,0.09273390256780367,9.715654410993702,-2.302890029984501,0.18380577046730598,11.706050654351463,0.996692422576374,-0.006726417545878435,-0.08098688219209914,-0.0003082184942726339,-0.009615795703075906,0.05894323904240716,1.0011837027050853e-19,1.0,9.322647916116157,-9.290982284105448,-9.290982284105448,0.7813743940404995,-0.1614338772053257,0.01345826210789378,0.9867917604396031,1.1521260926971244,0.3173778444149692,2.4344131482093303,-3.530087118217424e-18,2.455014474967501
1.6549999999999867,-1.1599300290999872,0.09365604885421858,9.774272384167661,-2.3139243436634276,0.18505346550964666,11.741139062166917,0.9967042555005851,-0.006750328575094031,-0.08083911991845798,-0.0003111622758869592,-0.00961323541528563,0.0596509963586878,9.52530050275199e-20,1.0,9.305946275775112,-9.273994501804008,-9.273994501804008,0.7841355010068616,-0.16114118877209355,0.013506470602715896,0.9868389395098749,1.1637049144413205,0.31821126008468525,2.4234846592555543,4.437064190026736e-18,2.4442864602357255
1.6599999999999866,-1.1715271796157511,0.09458444443568532,9.833065806109227,-2.3249312732021776,0.1863054882209961,11.776230166250476,0.9967162080429302,-0.006774232460562966,-0.0806896011227235,-0.00031411741168127776,-0.009610625065152006,0.060351630394331314,9.908562048985446e-20,1.0,9.289045376466634,-9.256804942168303,-9.256804942168303,0.7868952341075431,-0.16084501071034177,0.013554666598295826,0.986886596090452,1.175339163691759,0.3190440866674339,2.4125503587458987,-5.946033415013999e-18,2.4335546763371525
1.6649999999999865,-1.1831792956838256,0.09551911094651891,9.892034690372007,-2.33591051408235,0.18756183698445553,11.811323995394028,0.9967282779841675,-0.0067981290733759876,-0.08053834345001697,-0.0003170838140109285,-0.009607964362416213,0.06104517707296911,1.1738135890926136e-19,1.0,9.27194727688373,-9.239415640449122,-9.239415640449122,0.7896535783225183,-0.1605453776038763,0.01360284977987081,0.9869347213508578,1.1870287049144546,0.3198763177687061,2.4016105818080407,3.2842554037358504e-18,2.4228194826114513
1.6699999999999864,-1.194886238105813,0.09646007001287661,9.951179050651852,-2.346861764755812,0.1888225101538279,11.84642057770387,0.9967404631139246,-0.0068220182839231055,-0.08038536445570509,-0.00032006139497123536,-0.009605253016261585,0.06173167279975993,1.1764424279510693e-19,1.0,9.254654025610439,-9.221828621539117,-9.221828621539117,0.7924105186202777,-0.16024232386094525,0.013651019831144284,0.9869833064957148,1.1987734010735935,0.32070794695511645,2.390665656556506,-3.8075134358694074e-18,2.412081231774526
1.6749999999999863,-1.20664786618297,0.09740734325261124,10.010498900783437,-2.3577847266300074,0.1900875060535002,11.881519940603356,0.9967527612310314,-0.006845899961892857,-0.08023068160423935,-0.00032305006641304083,-0.009602490735399736,0.06241115444759993,1.1966253763589475e-19,1.0,9.237167660989,-9.204045899836885,-9.204045899836885,0.7951660399568995,-0.1599358837120719,0.013699176434297463,0.9870323427660618,1.2105731136463616,0.3215389677550681,2.3797159041639837,-2.908864211561066e-18,2.4013402699984026
1.6799999999999862,-1.2184640377309484,0.09836095227512377,10.06999425473685,-2.3686791040530752,0.1913568229783263,11.916622110835634,0.9967651701438431,-0.0068697739762717406,-0.08007431226802872,-0.0003260497399581394,-0.009599677228154732,0.06308365934347988,1.2867808681071198e-19,1.0,9.219490210992422,-9.18606947911489,-9.18606947911489,0.7979201272751375,-0.15962609120794868,0.01374731927000113,0.9870818214406346,1.222427702637696,0.32236937365941143,2.3687616389325727,-4.1956097246259956e-19,2.39059693699128
1.684999999999986,-1.2303346090944611,0.09932091868121536,10.1296651266142,-2.3795446042987853,0.19263045919351074,11.951727114466497,0.996777687670553,-0.006893640195343844,-0.07991627372634544,-0.00032906032701460934,-0.009596812202545343,0.06374922525498965,1.0074889427212638e-19,1.0,9.201623693099823,-9.167901352391356,-9.167901352391356,0.8006727655035305,-0.15931298021739315,0.013795448017427592,0.9871317338371063,1.2343370265949658,0.3231991581220945,2.3578031683649434,-3.824816578191338e-18,2.379851566077724
1.689999999999986,-1.2422594351618725,0.10028726406293881,10.189511530646238,-2.3903809375512926,0.19390841293449315,11.986834976887335,0.9967903116394979,-0.006917498486690654,-0.07975658316426376,-0.0003320817387920409,-0.00959389536636539,0.06440789037696999,1.1132248598588287e-19,1.0,9.183570114176378,-9.14954350180595,-9.14954350180595,0.8034239395555243,-0.1589965844253649,0.013843562354262866,0.9871820713132972,1.246300942622577,0.3240283145608091,2.3468407932354483,-5.510297582212017e-18,2.3691044842790507
1.6949999999999859,-1.2542383693797112,0.10126001000344949,10.249533481188996,-2.4011878168897183,0.1951906824068335,12.021945722818186,0.9968030398894538,-0.006941348717191038,-0.0795952576716309,-0.0003351138863166576,-0.0095909264272622,0.06505969331831166,1.1195807051421577e-19,0.9999999999999999,9.165331470356852,-9.130997898499281,-9.130997898499281,0.8061736343286162,-0.15867693733104232,0.013891661956719007,0.9872328252683459,1.2583193063965026,0.32485683635762813,2.3358748076611002,2.2756267904063743e-18,2.3583560123938176
1.6999999999999857,-1.2662712637671065,0.10223917807685563,10.309730992720429,-2.4119649582725633,0.19647726578609803,12.057059376310873,0.9968158702699224,-0.006965190753021396,-0.07943231424207016,-0.0003381566804463294,-0.009587905092813211,0.06570467308890174,1.121343120088511e-19,1.0,9.14690974693294,-9.112266502496167,-9.112266502496167,0.8089218347035132,-0.1583540722459588,0.013939746499546614,0.9872839871438462,1.2703919721787351,0.32568471685963746,2.3249054991724725,-6.172395691570592e-18,2.3476064650784947
1.7049999999999856,-1.278357968930146,0.10322478984806807,10.370104079837091,-2.422712080521957,0.19776816121774632,12.092175960752249,0.9968288006414077,-0.006989024459655975,-0.07926776977201554,-0.0003412100318854751,-0.009584831070600723,0.06634286908671733,7.18435672981624e-20,1.0,9.128306918244931,-9.093351262592618,-9.093351262592618,0.8116685255433106,-0.1580280222921975,0.013987815656047453,0.9873355484249462,1.282518792831663,0.32651194937955913,2.3139331487844457,4.609093098811019e-18,2.336856150928238
1.7099999999999855,-1.290498334076154,0.10421686687264944,10.430652757250813,-2.4334289053077467,0.19906336681701875,12.127295498867522,0.996841828875687,-0.007012849701867356,-0.07910164105977795,-0.00034427385119985266,-0.009581704068284829,0.06697432108506625,9.770303295923844e-20,1.0,9.1095249475762,-9.07425411624648,-9.07425411624648,0.814413691692685,-0.15769882040064487,0.014035869098087298,0.9873875006414181,1.2946996198323688,0.3273385271963708,2.3029580310668587,-1.925118742467213e-18,2.3261053725578367
1.7149999999999854,-1.3026922070278897,0.10521543069666281,10.491377039785405,-2.4441151571314363,0.2003628806688251,12.16241801272367,0.9968549528560702,-0.007036666343727086,-0.07893394480464212,-0.0003473480488312344,-0.00957852379367454,0.06759906921997495,3.2464598560871717e-20,1.0,9.090565787052405,-9.054976989471738,-9.054976989471738,0.8171573179771047,-0.1573664993093008,0.01408390649610881,0.9874398353686896,1.306934303286848,0.3281644435559149,2.2919804142149984,-3.812172969271509e-18,2.3153544266827746
1.7199999999999853,-1.314939434237665,0.10622050285651971,10.552276942373375,-2.4547705633099723,0.20166670082763388,12.19754352373294,0.9968681704776513,-0.007060474248606469,-0.07876469760599425,-0.0003504325351119657,-0.009575289954797134,0.06821715397772324,5.930526031613381e-20,1.0,9.071431377543698,-9.03552179673639,-9.03552179673639,0.8198993892020584,-0.1570310915616458,0.014131927519144594,0.9874925442288424,1.3192226919441472,0.3289896916715034,2.2810005601199217,5.6232624491019315e-19,2.304603604200407
1.7249999999999852,-1.3272398608013818,0.10723210487882771,10.613352480052662,-2.4653948539593875,0.20297482531736266,12.232672052656426,0.9968814796475522,-0.007084273279177501,-0.07859391596247982,-0.00035352722027940585,-0.00957200225996574,0.06882861618252578,6.88645198121995e-20,1.0,9.052123648570822,-9.015890440863874,-9.015890440863874,0.8226398901522985,-0.15669262950506432,0.014179931834830347,0.9875456188915772,1.3315646332104256,0.3298142647245138,2.2700187244386383,-1.2153573469987002e-17,2.293853190271294
1.729999999999985,-1.3395933304724847,0.10825025828023735,10.674603667963389,-2.475987761978306,0.20428725213126903,12.267803619607733,0.9968948782851582,-0.007108063297413956,-0.0784216162711914,-0.0003566320144902482,-0.00956866041784517,0.06943349698436023,3.987535428079649e-20,1.0,9.03264451821488,-8.996084812938019,-8.996084812938019,0.8253788055911013,-0.1563511452893237,0.014227919109418124,0.9875990510751481,1.3439599731629295,0.3306381558649805,2.2590351566641127,6.216199201806323e-20,2.283103464400649
1.734999999999985,-1.351999685675834,0.10927498456728857,10.736030521344638,-2.486549023031315,0.2056039792318427,12.302938244056708,0.9969083643223431,-0.007131844164592605,-0.07824781482688585,-0.00035974682783471856,-0.009565264137516042,0.0700318378469417,4.0260136184575845e-21,1.0,9.012995893030407,-8.976106792211432,-8.976106792211432,0.8281161202595445,-0.15600667086510706,0.014275889007789665,0.987652832547259,1.35640855656389,0.33146135821217654,2.248050100195062,-6.725650170719117e-19,2.272354700519901
1.739999999999985,-1.3644587675214925,0.11030630523625665,10.797633055531238,-2.4970783755322032,0.20692500455069837,12.338075944833253,0.9969219357036886,-0.007155615741294576,-0.07807252782123074,-0.00036287157035064986,-0.00956181312853719,0.0706236805358433,-4.921497157223075e-20,1.0,8.993179667962462,-8.955958246017344,-8.955958246017344,0.8308518188757982,-0.15565923798260112,0.014323841193469815,0.9877069551259321,1.3689102268743354,0.33228386485518924,2.2370637924055763,5.852000084684557e-18,2.2616071670683926
