time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,cmd_gimbal_x_deg,cmd_gimbal_y_deg,cmd_gimbal_total_deg,ach_gimbal_x_deg,ach_gimbal_y_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.13000000000000003,0.0011118524703956983,6.333741196401292e-05,0.06077843373774372,0.01339111114951006,0.0010959707050160565,0.9350484833931616,0.9999234654498196,-0.00011839346685696828,-0.012371306548852441,2.918099365130246e-07,-0.003083003357747874,-0.47930299219692035,-6.748225218900755e-21,1.0,1.417748389845927,-1.4176835025151056,0.013569593684503918,-0.02474071950203794,0.00023676159119211896,0.999693873514523,0.0011136550380074237,0.43156415946843474,0.007527257339373634,0.43162979894899484,0.7581477559519277,0.004333009946502906,0.7581601379854657,0.32659921725028657,19.019289815714654,13.496644550581886,88.89885760261133,69.87956778689667,0,0,0
0.13500000000000004,0.0011765185985227128,6.896750415533391e-05,0.06554357456286065,0.012440653125824753,0.0011562975413018928,0.9710074262531067,0.9999075521182323,-0.00012615097966421935,-0.013596738680230144,3.4097130671299834e-07,-0.003123899508188558,-0.5011252595416722,-6.748225218900755e-21,0.9999999999999999,1.5581865597699465,-1.5581195362695073,0.014459316141775428,-0.027190963467108146,0.0002522693623512233,0.9996302255663837,0.0011785383020077303,0.3717696007466615,0.007731515983677884,0.37184998639066524,0.7323892122715767,0.004559577015647904,0.732403405231258,0.36063356112985057,20.08377328573975,13.038152754644498,88.89885760261133,68.81508431687158,0,0,0
0.14000000000000004,0.0012358089656741948,7.490355849503288e-05,0.07048850183325159,0.011239292068858963,0.0012183588968945004,1.0069629371675453,0.999889341024846,-0.0001340025578138768,-0.014875743613600691,3.9561250753591353e-07,-0.0031584392133786397,-0.5221822879082263,-9.960676100339288e-21,1.0,1.7047666964062016,-1.7046975797292838,0.015359986545334152,-0.02974819506414169,0.0002679636883958573,0.9995573885905141,0.0012380768727005371,0.3124435903932973,0.007925963919084327,0.31254410581852465,0.7043928374796914,0.004784002809210332,0.7044090829735016,0.3919618402487763,21.139864815211293,12.53982697399412,88.89885760261133,67.75899278740003,0,0,0
0.14500000000000005,0.0012884383221383276,8.115428735642257e-05,0.07561319602482448,0.009774791307191175,0.0012821702405732282,1.0429140569791262,0.9998686588917386,-0.00014193238323957722,-0.01620632040368803,4.560008162522171e-07,-0.003186706921809322,-0.542407610224043,-1.317312698177782e-20,1.0,1.8572600518877789,-1.857188887551038,0.016269816648749116,-0.03240838382465331,0.00028381270317546364,0.9994746700683435,0.001290991606599732,0.25373935297502315,0.008110484480729065,0.25386894100440005,0.6743492718460469,0.005005768253978249,0.6743678507721925,0.4206213773877141,22.184837051820683,12.005060907528629,88.89885760261133,66.71402055079065,0,0,0
0.15000000000000005,0.001333061824542952,8.772847190612371e-05,0.08091763256619429,0.008035554638905562,0.0013477436258110247,1.0788597262103046,0.9998453376769006,-0.00014992486678810113,-0.017586308538917666,5.223868460573658e-07,-0.0032088027847312094,-0.5617404130931588,-1.1566901541058554e-20,1.0,2.0154196469464196,-2.0153464828069843,0.017187045784203842,-0.03516717735580615,0.00029978498440732377,0.9993813985490166,0.001335945400395079,0.19580271419052403,0.008284992814439323,0.19597791709861434,0.6424461680023453,0.005224383224675653,0.6424674100380314,0.4466539400520424,23.21609491993659,11.437195331486134,88.89885760261133,65.68276268267473,0,0,0
0.15500000000000005,0.0013682782942769911,9.463494521295588e-05,0.08640178134624056,0.006010648363388981,0.0014150877660473616,1.1147987888777897,0.9998192164545667,-0.00015796468665539923,-0.019013401983338427,5.950025389909662e-07,-0.0032248417643483095,-0.580125448391624,-6.748225218900755e-21,1.0,2.1789818779067054,-2.1789067639792097,0.018109945033056605,-0.03801992953421304,0.0003158496324336749,0.9992769311843556,0.001371547032895705,0.13877202065699334,0.008449434947050846,0.13902901376385232,0.6088678915126552,0.005439386672834,0.6088921877002883,0.4701055075045987,24.23117702607157,10.839512836524165,88.89885760261133,64.66768057653977,0,0,0
0.16000000000000006,0.0013926335789914777,0.00010188257575037035,0.09206560624361168,0.003689820485963311,0.0014842081167855856,1.1507299974514955,0.9997901432442299,-0.0001660368246355348,-0.020485162996686065,6.740592924709408e-07,-0.0032349527372608857,-0.5975129359945199,-1.9295488967429568e-21,1.0,2.3476680970842074,-2.3475910853575166,0.019036821108807528,-0.04096172831751365,0.00033197634494340543,0.9991606610575442,0.0013963553790407879,0.08277807848233558,0.00860378681537954,0.08322400750259631,0.573795237310634,0.0056503466823370355,0.5738230570289045,0.49102604113471804,25.227756723807776,10.215232865682216,88.89885760261133,63.67110087880356,0,0,0
0.16500000000000006,0.0014046240031658885,0.00010948025132560551,0.09790906468372798,0.0010635171445473627,0.0015551069641367664,1.1866520188881404,0.9997579767659434,-0.00017412660016894105,-0.021999035711080545,7.597462274304457e-07,-0.003239277595480764,-0.6138584580974729,-1.9295488967429568e-21,1.0,2.521186164112198,-2.52110730836655,0.01996601995483063,-0.0439874231312073,0.00034813548760328854,0.9990320242154195,0.0014088841384940366,0.02794411017862197,0.008748053257203119,0.029281422941275004,0.5374051621684998,0.005856860453994774,0.5374370764468424,0.5094692556871889,26.20364284658249,9.567507068385755,88.89885760261133,62.69521475602884,0,0,0
0.17000000000000007,0.0014026998939816395,0.00011743686346683463,0.10393210722845973,-0.0018771036883699363,0.0016277835194236198,1.2225634416591606,0.9997225881012618,-0.0001822197021810944,-0.023552359443772906,8.5222860472246e-07,-0.0032379703472822183,-0.6291228456009957,-3.233234560236907e-22,1.0,2.6992319658574684,-2.6991513214813447,0.020895930060575763,-0.04709165178862537,0.0003642981605461963,0.9988905063212229,0.0014076073349755713,-0.025614270536086226,0.008882266967520699,0.027110616399818804,0.4998705333215273,0.00605855422156317,0.4999072475593886,0.5254923904672133,27.15678011696895,8.899414992691144,88.89885760261133,61.74207748564238,0,0,0
0.17500000000000007,0.001385269169021501,0.00012576129229762193,0.11013467720323178,-0.005140161170947269,0.0017022340194492007,1.2584627836835498,0.9996838622411033,-0.00019030221870739185,-0.025142381726295338,9.516463952090015e-07,-0.003231196220087696,-0.6432720570303155,1.2829019846955754e-21,1.0,2.881490902717593,-2.8814085265251963,0.021824985501169524,-0.05026886690236696,0.00038043626066703966,0.9987356488523896,0.0013909660575592373,-0.07778906650798059,0.0090064874232805,0.07830872035660356,0.46135989333289346,0.006255083101677658,0.46140229436008195,0.5391559803278058,28.085249241293173,8.213960151085065,88.89885760261133,60.81360836131816,0,0,0
